,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,cluster,song.0,song.1,song.2,song.3,song.4,song.5,song.6,song.7,song.8,song.9,X,Y
1803,3YlqY0ICO5DZj2ay8vRjJ1,0.146,0.751,0.599,0,0.0973,0.423691518,1,0.237,0.39448981,0.966,2,1sCN83vh7rzQ2d7UGAsoga,4Nip6oiJU24LqcUEi7u19S,1SHA4IJyiyNobDOrQzFFXy,6yEi7mIkyoKYlhk7X43wNj,09BqFZVg58GJMT7sWWLzx1,1fRYAhQj82i4V6ECumbYXF,3yNVfRQlUPViUh8O2V9SQn,6SAKXCj5jyF6IgPCPbZ5ra,5wujBwqG7INdStqGd4tRMX,4tIbSGN5xmmnpv9hBPqUDl,-0.37281798,-0.071007337
1804,12v5HN5yoBXWV7QpXLFjAM,0.0883,0.679,0.702,0,0.113,0.237805836,0,0.172,0.394302257,0.446,1,1UiEaMpzSMICYs0FWQga7S,1YNQscOx6OqBQjxgJVhEeW,4AhSkRYioEIfGvCV19peYN,6SkHm6poyKfzV6kc9any8k,6VCeywT4JeawuZOUkQ1okx,4uNDs2TBsv2KX9b4LIxfdt,61uyGDPJ06MkxJtHgPmuyO,6Gy7rXB6Ku5vIWC7WGWsl3,6OHWgUuDDedHRVhcg8vlaf,4c5cUeKXDWCUBYNIw8Ivxy,0.631283727,-0.135662196
1805,0u695M7KyzXaPIjpEbxOkB,0.0214,0.651,0.833,0,0.14,0.175826479,1,0.172,0.74564542,0.443,2,637kmONo6eMUOd10n9z4xb,6fIgsZFtGXiIvxb2Y6oCc7,74Ru27B7Jx8mBt5MGvGLLv,0PypLCGGUBNXqg4139Mg0W,4tEnwJD6qaFF9B7AEZYtof,0qrYEShkVZeSaBPgmx3mfR,2Go8QT5Cw4sCBzq8ZjnZLl,6cPyTS0Kk2sc4xQwC93kOg,2xLMifQCjDGFmkHkpNLD9h,2y1ZeuRxlGO36mo5qYm28A,-0.354065471,-0.380923236
1806,2UxnZEvavlFv9dTbfrkNnd,0.0347,0.794,0.579,0,0.125,0.422486509,0,0.0432,0.543584269,0.519,1,0znetZf9bcVN1xjAhQ00LH,5mIOsPuQdXchVY0jB5NO9Q,3erpmncBhgjZhc7aghwbJV,34aHsgRbN3WSRWf64rtYnj,7abo0Ait48p7JNBhmvm9JI,1dRaYeS22TQZ3jRLFfe7vM,32T61xmNSIXhGkEszzs0t8,1fyvQWmRbW81M0xXKI1Rrk,7oM4pmqvqIhqJzyW0PSHXw,04DysC7XwYiKJqYwGM8mkU,0.628763261,-0.076411505
1807,0Fbyu0CzsClu9N00gGwAmi,0.487,0.66,0.313,0.00349,0.105,0.696128255,1,0.0263,0.692366141,0.226,2,01LXrAtadc5KLDmINlg1yt,3SO5iPrvbgXz2XUwjOExDs,7wC5eZcFS1Q1BsQ35DU6H4,6SwBFQFjgwdYomUy6kLTrH,5vjLSffimiIP26QG5WcN2K,7mLIL4OdNdwFcGNlTcWa0c,64sp7I8wf70B7OLOpih6XJ,6vWEAOUSxohKxhp0K1BsxL,4YutJsNwBBInE8vemufpQ8,3oJWTN5wZcXr40qNX3wPZ8,-0.419714904,0.414452753
1808,61ehOd7NByNLD1C5AcQhEb,0.0216,0.886,0.474,0,0.088,0.421491067,0,0.274,0.721682007,0.825,1,5H6uaK8A2ZvUAOSCUCfyV3,5fD1cUWzVmReobKb6d24ft,3mh5MSqKe42nEYUqiMI2KA,2E5e4J3nm1LMHkqTS21Dlq,1YC7llsHtz0ScDtiLEVHZG,5NpET8pwPjwxU2XD1W4rT5,3VEpRXloN4rbzNRPSQzZFW,1tNJrcVe6gwLEiZCtprs1u,7AYuSG1LoaaFVKjOxsB6Vh,3Du2K5dLzmduCNp6uwuaL0,0.631121631,-0.051668883
1809,62CjzgjzGMO0oBKhEs9Sxj,0.373,0.539,0.685,0,0.0809,0.270183895,0,0.0461,0.596103721,0.538,1,2SarJa9ShYlxXMm3YPTmdP,57MUBmB0IhftnHLtlQK9JP,0SE7gSflAhE1a5HEs5Hk9R,0l5B3lxPYVnmJRgm2Dc3no,4llK75pXNWZz6KAho2Gp16,1MUL6DO2gVimj2YrVedubd,1Gdq70zftwyR7AicLQ4lBY,13W2FZtELfJiVBst64qKf4,6uBhi9gBXWjanegOb2Phh0,6mrKP2jyIQmM0rw6fQryjr,0.603279612,0.107893428
1810,0g21KZ1XJuhwexWPLpuEt1,0.52,0.752,0.698,0,0.211,0.342117672,1,0.306,0.635071318,0.347,2,2hnxrRNzF74mdDzpQZQukQ,4RjpANxXIGwfKbn5srJBQq,1yUqu9a2ABItuEq3WpK9Ba,7j1Q7Xx6Ozn5mUJfrqaSjp,6it15CsDlkqB7N4lF0C1qM,7e4KQkp5ZR1gXCAalRjX6B,6ZRuF2n1CQxyxxAAWsKJOy,7r55d7IhAj5UGKiYbXBwRP,1fDLHQ4oKWj7KxQRg9WOHQ,6M0gc38pZlnuvMvxuZ4Jp6,-0.389992709,0.131757036
1811,61duk78NU13GtX2ACpeF8L,0.000985,0.639,0.816,0.0604,0.141,0.276628071,0,0.0485,0.663685066,0.802,1,2Zj4FUsMtu9PMuJsHbGbdv,6JhJ3Qiw7sWE74MmSTbwkK,1pbyc2rbpwxZjCbKC2X7UV,5pT2YfSaNwYsBPbIuBb0PE,2jl743t1JKGeZi3H0vo2iV,6pfvfeG3cm82Pu6GdXybF7,0h3PlGdTl8kUA47Zb2kJAi,5Pqo2g0cANdVGe8G0jKsI3,10epFYqO8dugWGqiuv8A2v,0x8VeSHmhbRl9EUAdsEx6A,0.638646294,-0.267475189
1812,3CEylRZUZPpwAqHOjoxfM3,0.309,0.754,0.86,0.0488,0.0693,0.254571174,0,0.048,0.471886391,0.79,1,78Nyf6RlqBANlMhSnKyClT,07w6jp4Fq8GGqhLoDYoVkb,0hnGINXS8qotbEAqDAbiik,6MJUCumnQsQEKbCy28tbCP,5XXRbcWjc6jQhAS6MxyYmu,60fFwimwllbxqq5kgME3zy,5YJkwOWNGM3IAyMK1FmlIj,5iwz1NiezX7WWjnCgY5TH4,0HRkuP4sFPLLnbWpup0OgQ,1oLSje4Ot5qRUq8FqYeXOl,0.623987136,-0.038858547
