,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,cluster,song.0,song.1,song.2,song.3,song.4,song.5,song.6,song.7,song.8,song.9
0,15O20RQyWJgKrkHID9ynT9,0.441,0.443,0.558,0,0.163,0.284801174,1,0.0624,0.561877831,0.248,2,0E47pBZ2vm2NkEDKONAIuo,6LizkSIS8bhKLs4Q6Kre5W,3nFpW8MQFp8iLVM2r4qEjA,0fJtP2HkuZtzfh30XIMtPw,09yDZSrQWbpaZvkBlzDbpK,2k8p8JCPBz8xki4SwuWGS1,2NkbRmygVirMQFCjSkyY7Q,6bt1R3HFqITysmy3W88M3c,2x7mjuJxIRphPtfTSWNDgp,1bb9eogTs9f8FrxlQ8Rvr2
1,479acVfQ74icOy772hE1ba,0.0756,0.532,0.473,7.83E-06,0.111,0.31089223,1,0.0438,0.481711246,0.167,2,6FueN9jVmrkmxApDrdfDFY,31cahXEtbRJM5lzVjvgW21,59krMPfRgjLYmAkVA2gHl4,6YIkU44i9mfapJ4Zfs1ggz,0Qh38w01QRXK6KHIv0e3hb,5weKCP07IGA1565wfI3cZ1,7krbSH3rd8lhIZvuzTV3Bl,4onD2lx2ohTTT48FRDCH7h,4h6WC7k2vRI4lrjqDh5g9D,3cuRIW5XcYEcWyWpBjIXHP
2,5tOjRq5shlEdm15nmJBq7Z,0.366,0.599,0.666,0.00158,0.169,0.390894326,1,0.0324,0.751199854,0.482,2,0vy1K9FhCK8woHW7MKEcBG,10M2Ex445zw585Ducldzkw,6aLmvz0CPeCNHCXK2H5QIC,2yQZwi1P8AkkxxFhQ8rMEK,1hKFNaxdPqR5moi4qzUK76,5zLs51Fr3XSUhZiWQMlxJu,7dt6x5M1jzdTEt8oCbisTK,2IA8cFA46DkjgbsRG7kKbp,2YyvWje3cEYyqgYhNUIaBJ,6r6n5OmXkdsOxN2iCj5UE0
3,1LhMopPAallLeaeNutqbgS,0.103,0.707,0.632,1.09E-05,0.0841,0.368365903,1,0.0789,0.46666859,0.372,2,10GJQkjRJcZhGTLagFOC62,0VWRbuEicramx9Hp2iWCTC,2mfUa8bLs2s5N4VaqJZ4lZ,2JRLoT6z48Pfihyj1s1u77,71HJ6PCDao3hcgOEUX8M22,2B3jnZ6tCsVFD4gNXHBJzP,0fjKE697Z8WQ33XSJKbfQn,5AdnkoZJuRJCYqYBIzSqFb,58Xf9pv08HhsBdLshzIYAQ,3XlE1iWXYyK4e0jtGef286
4,5esPpmrM2AsyDVgOKzWQwU,0.229,0.58,0.687,0,0.109,0.282915073,1,0.106,0.365553856,0.187,2,5esPpmrM2AsyDVgOKzWQwU,6Hgh47WXVKtXN5zGOu0hjI,33UI8dgfkDOf32DWBH1GL0,08nYf4Aihtg013sLE8sloU,4E5P1XyAFtrjpiIxkydly4,5vuMtXS5kQ7F0o9V9rG1dG,5Z6JNzQNHrBFdi31XAbAR4,4VUwkH455At9kENOfzTqmF,0BNNxZfJOS59Bip2dQGk2f,09yDZSrQWbpaZvkBlzDbpK
5,6uaIMhUZXMuT2Zz0vxrFiR,0.722,0.571,0.558,0.000331,0.116,0.448106041,1,0.0281,0.504905214,0.283,2,2Kik93LzYWedRq41pH6eDN,0fvke3Xize2XpVUDoZbtyW,0VBBWt0uJxXNVb624WtOnC,2rxQMGVafnNaRaXlRMWPde,0MsuUFDdKP6d3aq5jBUdTK,42bbDWZ8WmXTH7PkYAlGLu,0CZ8lquoTX2Dkg7Ak2inwA,1It1TxBK3xIQAB4xJkPevn,5dTJMpqiELczVuHJP3OAEu,0pdKRp2sUthTPe7RLWpPqQ
6,2YU9u46O1vUhRvOFoWsThH,0.866,0.89,0.248,0.00149,0.121,0.494891811,0,0.0517,0.611324312,0.245,1,28EyY6ygTlCucvF9RoMIQ1,28LrrolOGEPtpPqMRhfaZ0,7dNwJbsT0sg1le5kVugGJb,1BczdgS6s8ofRNMZPtbMF1,4YpVlqsbsnmRFP7bamdWbR,0gakOwhuH8Xf7JuCgsXhDI,7fS708BKUj1zNyejmuZxDb,1GlSowQ33EgXZz1Y22LleO,6jApoxmm4K0yhJlSBONwjz,0orqUsqNaLLGF4aXoU6F3d
7,7t3Ldw0z7zS0WyzlV7aJGV,0.0618,0.618,0.801,0,0.104,0.301776078,1,0.212,0.403651018,0.706,2,1SflceB6gEUczFvowdYkaQ,2nHuAhUwIG29RYVD1zcUX2,1F2HXIJrE2Xn81OzT2zZvW,3B54sVLJ402zGa6Xm4YGNe,6jnEusmGUs0D6YvF8MhOXX,6FE2iI43OZnszFLuLtvvmg,5HwnezK198pJCEj1l2Adjy,3CA9pLiwRIGtUBiMjbZmRw,3jDdpx9PMlfMBS5tOBHFm9,6yEi7mIkyoKYlhk7X43wNj
8,16QN8cBubEq706vNtPpOME,0.0053,0.808,0.581,1.19E-05,0.0828,0.284486823,1,0.07,0.625232036,0.758,2,0PG9fbaaHFHfre2gUVo7AN,4ZKGarvWsSOruOaw40cFNz,6r05pfZigq7Arg25pi2vRm,0KK1FJFCBjdgPE00CJuvEG,7J4WtoGCdREmGQrSzPYuFe,4cxacKRkXUaXwxwhD42Iqg,4wFHz9UQtuXUgbhy7cn8qk,4E0teOQQQwagLVvQ7VfYm1,5Il6Oe7lr5XM7A0cWbVQtr,3O4DdB07AoPwvy1fsIToiT
9,5qWfbqQUmQGS0fy15emahR,0.401,0.665,0.713,8.99E-06,0.103,0.382040132,1,0.0496,0.503024882,0.614,2,7LROGCpqfOu6oBgXrjGlHO,5kXDF4OmM5COyeo6z97nEk,1W0zPxHrUF4H2xmWkO97Ea,14cikDRwGYOB1UfdA44V4P,5tAa8Uaqr4VvA3693mbIhU,5H4YGepZNnPhnOHA9vZSEP,3AzvNvE3xpgelqmE5MRnbI,4Sbc03ueoX8IHdI1H2iht0,1kgw52pWfmHsXP0eAmduLg,6qX4gWRXTRPIrEfNuNaYye
10,7HzCxalzzYQOFb9a7Xs3j6,0.0331,0.678,0.783,1.51E-05,0.134,0.24477393,0,0.0828,0.490521395,0.679,1,5hIuSLPtjhOFW0bzzRPbuY,073wmqmf5KfrQiNukyuqrq,1tn7pFwjU4ue3omJGc6L7J,4ejTiGZJNOkc3RM6RUITJi,3HltnjWv3KRaea6YsVgFgs,7JzWz4mgrthdmX52b0Z7mz,4cKGldbhGJniI8BrB3K6tb,60fFwimwllbxqq5kgME3zy,2ffTu34aAhPSo5IgrFR8oD,0rJzsc89WVFLnFEeksmOZO
11,2N2IkAiiJqDXXFm58mix4A,0.00651,0.615,0.719,3.99E-05,0.111,0.268454969,0,0.0985,0.82265247,0.344,1,7EtzDNjVmifX4q4k9hQKTV,0CALOqrkXAE7WB2nyIATLk,7CotyU8EcChJlqOFnxPPmI,7eBtmw3nmUU1feJ9R4GPej,7B05516SDZK9hsqde0yauO,0AS63m1wHv9n4VVRizK6Hc,4wCD0qOFNRu1Q6O3N6ycm4,23eSs9NM5hSXN2SjN62xT8,6NCkJFHLl3K9epKNenmlSc,4JWQC6gyYoPRnxRxk0ta2M
12,2BgEsaKNfHUdlh97KmvFyo,0.0372,0.697,0.683,0,0.137,0.150940431,0,0.117,0.462306797,0.603,1,2BgEsaKNfHUdlh97KmvFyo,1KGi9sZVMeszgZOWivFpxs,073wmqmf5KfrQiNukyuqrq,1BMfojwi8eKlVtGOEfJw17,3o8bovLXjsxsFBTXajm1VA,1UiEaMpzSMICYs0FWQga7S,7HzCxalzzYQOFb9a7Xs3j6,4ejTiGZJNOkc3RM6RUITJi,7uH27oIt4a6cIFCA8ZPcyG,1jY7v9jG7kuUOGT9vVR6vs
13,3E5XrOtqMAs7p2wKhwgOjf,0.0335,0.818,0.732,4.95E-05,0.19,0.234400377,0,0.0334,0.572284579,0.679,1,7CMfLvTBxPE38oGk2FRmsu,2ekn2ttSfGqwhhate0LSR0,7Cw97917dvg5xm6XMAA4Y2,57nU6ivxzZemOQaQK0hqEs,2VWKS0DtLjB6rP4iCue0nS,407bMQYO7pKNipPaB5DanI,4ejTiGZJNOkc3RM6RUITJi,4t14AT1MhpuSOdojL4zZgZ,58F6iKkYdIccktJ8i8BuQQ,5zWWXFYSFMO66hUXHfVITK
14,5HIfxhZRZp6BPpsz4wCKq9,0.046,0.395,0.823,9.38E-06,0.234,0.231571226,1,0.0404,0.607765627,0.632,2,72o5GKc9jmiCTex2MPPoAI,1mMLMZYXkMueg65jRRWG1l,7esrnDc7ncqQGHz8q6Wql2,2WuDGjp1Ydst3xHHLKO5NW,4QRZirU4s1f30iDHzuKncj,7cz70nyRXlCJOE85whEkgU,6SewJZC2f9ETwJR2zZWkOP,6CyJlVAEFlNdpggOLanytL,4kbj5MwxO1bq9wjT5g9HaA,3Msno56oT1A7H8DFQGylHK
15,6p3nhn7e7rltnxlSvBEfp3,0.73,0.658,0.348,0,0.155,0.322627967,1,0.0451,0.341903031,0.299,2,2VIPU72L6tIR4w8J8ap6Kp,5mdBAkjyr5AuFFbRXQ1M2X,4W6lFeuSPi2pnFTIOrMUiD,5QRb3yGIL1AY9xoh0FGzGl,4OdxrfcLBUL8AJmWdbN7QO,7rzCPEXWAhEaTcr3ajFNuC,0CZ8lquoTX2Dkg7Ak2inwA,7FC9taEfKHkJs3gQdxDvJ0,3ksmU0DaEUMEVzx5V6cc3z,2rxQMGVafnNaRaXlRMWPde
16,77nXj2IoswHUcgwh0tw83O,0.452,0.603,0.554,0,0.0545,0.229527951,1,0.0646,0.538558829,0.354,2,2x7mjuJxIRphPtfTSWNDgp,39LmTF9RgyakzSYX8txrow,42bbDWZ8WmXTH7PkYAlGLu,7tsHqxfepei1AdLjy93XIv,2cJS4uSqiNCeH4CgOt9LNA,60Q0ZSKKBea7otGijFgrQI,0lnfjcwBcripJPtXuSu7d3,1AJBNdi266U3cJkgxpHOlF,0h9bwHojcS1hSBon4YKK81,3ji4bcQugJj5B6NRGYDNwP
17,3H4SQPQVJ4birjwbMMuYlY,0.0583,0.379,0.732,1.58E-05,0.143,0.36139781,0,0.0659,0.576021198,0.398,1,4hCNAbUTmoj9Pzg2vFhoiC,4pCUMrVlDuWIk6X03VDvT2,7kqCbVG93MnBnkRGiKWTPs,2AaF78iCWISMWYog5RnSi5,4R1blcuvrin6EEgyDFljSg,3yelVZf4p9wDpWjPav5mOn,1cEo4OOyM1rOUn6kuTrm5m,2TYlNJNjw45KdmKr5Dh2mh,69HBkY6dhDFSrXAdiyLZZG,5BCnoG4uUCyz58OOy1kFeQ
